Genotype ID,Accession,Genotype,Rep,Leaf_num,CHLp1,CHLp2,CHLp3,FW,LA,DW,SLA,THCK,LWC
IS 1044C,PI 57633 ,37,1,3,759.5,786,429.1,8.6,451.75,2.79,161.917562724014,52.5290697674419,67.5581395348837
IS 1044C,PI 57633 ,37,2,1,768.3,754.7,672.4,8.7,422.15,2.69,156.933085501859,48.5229885057471,69.0804597701149
IS 1044C,PI 57633 ,37,2,2,792.4,745.5,683,9.9,488.21,2.96,164.935810810811,49.3141414141414,70.1010101010101
IS 1044C,PI 57633 ,37,2,3,764.9,787,639.5,9.4,441.84,2.72,162.441176470588,47.0042553191489,71.063829787234
Njahi No. 738,PI 57643 ,38,1,1,538.7,571.5,573.8,3.45,115.81,1.15,100.704347826087,33.568115942029,66.6666666666667
Njahi No. 738,PI 57643 ,38,1,2,621.2,677.7,605.7,5.2,281.31,1.52,185.072368421053,54.0980769230769,70.7692307692308
Njahi No. 738,PI 57643 ,38,1,3,332.9,606.5,466,5.15,260.68,1.49,174.953020134228,50.6174757281553,71.0679611650486
Njahi No. 738,PI 57643 ,38,2,1,546.4,548.4,586,4.65,245.21,1.27,193.07874015748,52.7333333333333,72.6881720430108
Njahi No. 738,PI 57643 ,38,2,2,466.4,675.4,472.9,3.7,170.11,0.94,180.968085106383,45.9756756756757,74.5945945945946
Njahi No. 738,PI 57643 ,38,2,3,467.7,469,488.9,2.3,106.57,0.61,174.704918032787,46.3347826086957,73.4782608695652
SC 448, ,39,1,1,464.1,665.1,470.3,12.95,640.08,4.53,141.298013245033,49.427027027027,65.019305019305
SC 448, ,39,1,2,453.9,521.8,467.7,12.59,609.95,4.25,143.517647058824,48.4471803018269,66.2430500397141
SC 448, ,39,1,3,414.3,609.7,288.3,11.85,611.05,4.05,150.876543209877,51.5654008438819,65.8227848101266
SC 448, ,39,2,1,402.1,493.4,536.4,9.4,330.1,2.97,111.144781144781,35.1170212765957,68.4042553191489
SC 448, ,39,2,2,529.7,536.4,326.5,8.8,385.5,3.21,120.093457943925,43.8068181818182,63.5227272727273
SC 448, ,39,2,3,428.1,520.6,511.6,10,396.36,3.3,120.109090909091,39.636,67
Col. El Obeid 8-5,PI 59797 ,40,1,1,686,659.6,555.6,4.2,190.79,1.37,139.262773722628,45.4261904761905,67.3809523809524
Col. El Obeid 8-5,PI 59797 ,40,1,2,699.8,529.7,549.4,5.7,595.72,1.75,340.411428571429,104.512280701754,69.2982456140351
Col. El Obeid 8-5,PI 59797 ,40,1,3,720.5,648.4,499.1,6.5,274.1,1.06,258.584905660377,42.1692307692308,83.6923076923077
Col. El Obeid 8-5,PI 59797 ,40,2,1,686,659.6,463,4.55,240.45,1.48,162.466216216216,52.8461538461539,67.4725274725275
Col. El Obeid 8-5,PI 59797 ,40,2,2,574.9,650.3,520.6,5.8,245.41,1.69,145.213017751479,42.3120689655172,70.8620689655172
Col. El Obeid 8-5,PI 59797 ,40,2,3,753.1,707.1,534.4,5.2,171.91,1.7,101.123529411765,33.0596153846154,67.3076923076923
SC 636, ,41,1,1,772.1,704.9,748.7,15.15,540.67,3.52,153.599431818182,35.6877887788779,76.7656765676568
SC 636, ,41,1,2,840.6,766.7,687,16.25,609.67,3.74,163.013368983957,37.5181538461538,76.9846153846154
SC 636, ,41,1,3,672.1,730.8,651.3,15.5,587.57,3.35,175.394029850746,37.9077419354839,78.3870967741936
SC 636, ,41,2,1,732.1,650,379.3,10.4,382.4,3.12,122.564102564103,36.7692307692308,70
SC 636, ,41,2,2,698.8,704.9,516.1,14.5,555.74,3.93,141.409669211196,38.3268965517241,72.8965517241379
SC 636, ,41,2,3,602,665.1,525.1,14.7,575.16,4.08,140.970588235294,39.1265306122449,72.2448979591837
BTx623, ,42,1,1,752.9,583.9,508.1,7.45,331.44,2.28,145.368421052632,44.4885906040268,69.3959731543624
BTx623, ,42,1,2,598.6,613.7,589,10.3,409.9,2.97,138.013468013468,39.7961165048544,71.1650485436893
BTx623, ,42,1,3,590,602,592,9.8,298.69,2.81,106.29537366548,30.4785714285714,71.3265306122449
BTx623, ,42,2,1,632.6,760,600.9,7.8,397.41,2.27,175.070484581498,50.95,70.8974358974359
BTx623, ,42,2,2,597.5,618.9,585.1,10.45,505.68,3,168.56,48.3904306220096,71.2918660287081
BTx623, ,42,2,3,674.3,711.3,589,11.1,555.93,2.91,191.041237113402,50.0837837837838,73.7837837837838
BTx623, ,42,3,1,754.6,749.3,659.6,10.95,444.8,3.15,141.206349206349,40.6210045662101,71.2328767123288
BTx623, ,42,3,2,762.2,678.8,746.5,15.45,608.19,4.1,148.339024390244,39.3650485436893,73.462783171521
BTx623, ,42,3,3,764.8,759.1,643.8,17.3,668.29,4.16,160.646634615385,38.6294797687861,75.9537572254335
BTx623, ,42,4,1,,,,,,,,,
BTx623, ,42,4,2,775.7,591,746,12.4,505.25,3.68,137.296195652174,40.7459677419355,70.3225806451613
BTx623, ,42,4,3,760.6,748.7,742.3,13.95,593.38,3.69,160.807588075881,42.5362007168459,73.5483870967742
BTx623, ,42,5,1,,,,,,,,,
BTx623, ,42,5,2,,,,,,,,,
BTx623, ,42,5,3,,,,,,,,,
BTx623, ,42,6,1,,,,,,,,,
BTx623, ,42,6,2,,,,,,,,,
BTx623, ,42,6,3,,,,,,,,,
BTx623, ,42,7,1,725.5,706,56.5,10.7,470.53,2.76,170.481884057971,43.9747663551402,74.2056074766355
BTx623, ,42,7,2,747.4,751.6,624.6,12.85,564.43,3.26,173.138036809816,43.924513618677,74.6303501945525
BTx623, ,42,7,3,746.4,769,692.5,13.7,573.92,3.18,180.477987421384,41.8919708029197,76.7883211678832
BTx623, ,42,8,1,628,603.1,746.2,8.25,376.6,2.52,149.444444444444,45.6484848484848,69.4545454545455
BTx623, ,42,8,2,758.9,646.1,589,11.7,529.65,3.18,166.556603773585,45.2692307692308,72.8205128205128
BTx623, ,42,8,3,678.8,755.7,600.9,12.15,539.65,3.27,165.030581039755,44.4156378600823,73.0864197530864
"R1, 22",PI 534149,43,1,1,787.4,758.3,794.2,13.55,590.94,3.73,158.428954423593,43.6118081180812,72.4723247232472
"R1, 22",PI 534149,43,1,2,744.3,754.3,746.1,12.25,530.68,3.1,171.187096774194,43.3208163265306,74.6938775510204
"R1, 22",PI 534149,43,1,3,632.6,764.1,768.5,9.65,422.73,2.43,173.962962962963,43.8062176165803,74.8186528497409
"R1, 22",PI 534149,43,2,1,,,,,,,,,
"R1, 22",PI 534149,43,2,2,,,,,,,,,
"R1, 22",PI 534149,43,2,3,,,,,,,,,
SC 616, ,44,1,1,543.2,595.2,345,5.4,318.39,2.05,155.312195121951,58.9611111111111,62.037037037037
SC 616, ,44,1,2,618.9,673.2,589,5.35,297.78,2.02,147.415841584158,55.6598130841122,62.2429906542056
SC 616, ,44,1,3,483.3,439.8,442.6,4.6,274.54,1.61,170.521739130435,59.6826086956522,65
SC 616, ,44,2,1,574.9,522.9,528.5,4.35,263.91,1.62,162.907407407407,60.6689655172414,62.7586206896552
SC 616, ,44,2,2,700.8,453.9,442.6,3.15,201.38,1.15,175.113043478261,63.9301587301587,63.4920634920635
SC 616, ,44,2,3,579.4,515,421.1,2,137.9,0.52,265.192307692308,68.95,74
RTAM2566, ,45,1,1,668.1,758.1,593.2,13.1,421.69,3.27,128.957186544343,32.1900763358779,75.0381679389313
RTAM2566, ,45,1,2,648.5,592.8,548.4,15.05,411.22,3.5,117.491428571429,27.3235880398671,76.7441860465116
RTAM2566, ,45,1,3,595.2,612.7,546.4,14.6,453.01,3.52,128.696022727273,31.0280821917808,75.8904109589041
RTAM2566, ,45,2,1,614.7,588,598.6,11.55,453.43,3.21,141.255451713396,39.2580086580087,72.2077922077922
RTAM2566, ,45,2,2,715.6,764.7,620,14.6,593.37,3.77,157.392572944297,40.6417808219178,74.1780821917808
RTAM2566, ,45,2,3,716.6,767.1,636.5,16.55,626.5,3.89,161.053984575835,37.8549848942598,76.4954682779456
"R3,122",PI 533925,46,1,1,656.3,646.1,664.2,17.1,428.62,5.13,83.551656920078,25.0654970760234,70
"R3,122",PI 533925,46,1,2,718.6,670.1,508.1,17.1,524.22,4.69,111.773987206823,30.6561403508772,72.5730994152047
"R3,122",PI 533925,46,1,3,642.7,661.9,587,16,484.35,4.09,118.422982885086,30.271875,74.4375
"R3,122",PI 533925,46,2,1,689.1,760.7,661.9,20.3,738.27,5.62,131.364768683274,36.3679802955665,72.3152709359606
"R3,122",PI 533925,46,2,2,746.9,702.8,597.5,18.1,694.68,4.84,143.528925619835,38.3801104972376,73.2596685082873
"R3,122",PI 533925,46,2,3,597.5,746.3,626.8,17.35,659.9,4.38,150.662100456621,38.0345821325648,74.7550432276657
SC0180, ,47,1,1,,,,,,,,,
SC0180, ,47,1,2,,,,,,,,,
SC0180, ,47,1,3,,,,,,,,,
SC0180, ,47,2,1,,,,,,,,,
SC0180, ,47,2,2,,,,,,,,,
SC0180, ,47,2,3,,,,,,,,,
Nipani Jola Nelri,PI 534 15,48,1,1,765.9,728.6,499.1,10.3,468.75,2.95,158.898305084746,45.5097087378641,71.3592233009709
Nipani Jola Nelri,PI 534 15,48,1,2,748.9,554.5,571.5,10.55,488.72,2.94,166.231292517007,46.3241706161137,72.132701421801
Nipani Jola Nelri,PI 534 15,48,1,3,648.4,655.3,640.5,10.1,471.05,2.71,173.819188191882,46.6386138613861,73.1683168316832
Nipani Jola Nelri,PI 534 15,48,2,1,,,,,,,,,
Nipani Jola Nelri,PI 534 15,48,2,2,,,,,,,,,
Nipani Jola Nelri,PI 534 15,48,2,3,,,,,,,,,
2031 T 11,PI 533969,49,1,1,659.6,612.7,746.7,15.5,650.92,4.64,140.284482758621,41.9948387096774,70.0645161290323
2031 T 11,PI 533969,49,1,2,742.3,775.6,751.3,17.3,696.52,5.02,138.749003984064,40.2612716763006,70.9826589595376
2031 T 11,PI 533969,49,1,3,675.4,765.1,586,17.7,691.26,4.72,146.453389830508,39.0542372881356,73.3333333333333
2031 T 11,PI 533969,49,2,1,753.1,708.3,628,18.1,727.96,5.23,139.189292543021,40.2187845303867,71.1049723756906
2031 T 11,PI 533969,49,2,2,674.3,753.1,669.1,19.55,809,5.38,150.371747211896,41.381074168798,72.4808184143223
2031 T 11,PI 533969,49,2,3,602,761.3,744.1,19.35,810.72,5.19,156.208092485549,41.8976744186047,73.1782945736434
Bein,PI 576411,50,1,1,,,,,,,,,
Bein,PI 576411,50,1,2,,,,,,,,,
Bein,PI 576411,50,1,3,,,,,,,,,
Bein,PI 576411,50,2,1,,,,,,,,,
Bein,PI 576411,50,2,2,,,,,,,,,
Bein,PI 576411,50,2,3,,,,,,,,,
Bein,PI 576411,51,1,1,510.4,621.2,362.3,12.6,576.44,4.06,141.980295566503,45.7492063492064,67.7777777777778
Bein,PI 576411,51,1,2,426.8,660.8,414.3,11.85,562.61,4.09,137.557457212714,47.4776371308017,65.4852320675106
Bein,PI 576411,51,1,3,,,,,,,,,
Bein,PI 576411,51,2,1,722.5,767.3,761.7,13.45,562.27,3.95,142.346835443038,41.8044609665428,70.6319702602231
Bein,PI 576411,51,2,2,598.6,769,703.8,14.25,656.33,4.18,157.016746411483,46.0582456140351,70.6666666666667
Bein,PI 576411,51,2,3,609.7,744.9,749.5,15.05,628.87,4.07,154.513513513514,41.7853820598007,72.9568106312293
SAP-167,PI 597967,52,1,1,,,,,,,,,
SAP-167,PI 597967,52,1,2,,,,,,,,,
SAP-167,PI 597967,52,1,3,,,,,,,,,
SAP-167,PI 597967,52,2,1,,,,,,,,,
SAP-167,PI 597967,52,2,2,,,,,,,,,
SAP-167,PI 597967,52,2,3,,,,,,,,,
"Peela Amla, Sumra Khera",PI 57636 ,53,1,1,539.8,700.8,715.6,14.2,602.78,3.94,152.989847715736,42.4492957746479,72.2535211267606
"Peela Amla, Sumra Khera",PI 57636 ,53,1,2,739.3,754.1,560.1,13.05,545.65,3.6,151.569444444444,41.8122605363985,72.4137931034483
"Peela Amla, Sumra Khera",PI 57636 ,53,1,3,556.7,682,748.9,11.8,500.8,2.98,168.053691275168,42.4406779661017,74.7457627118644
"Peela Amla, Sumra Khera",PI 57636 ,53,2,1,,,,,,,,,
"Peela Amla, Sumra Khera",PI 57636 ,53,2,2,,,,,,,,,
"Peela Amla, Sumra Khera",PI 57636 ,53,2,3,,,,,,,,,
E-1,PI 534164,54,1,1,636.5,648.4,351.6,17.5,648.92,5.33,121.748592870544,37.0811428571429,69.5428571428571
E-1,PI 534164,54,1,2,502.5,639.5,634.5,21.55,837.5,6.06,138.201320132013,38.8631090487239,71.8793503480278
E-1,PI 534164,54,1,3,528.5,750.4,574.9,22.15,790.5,5.93,133.305227655987,35.6884875846501,73.2279909706546
E-1,PI 534164,54,2,1,402.8,750.7,600.9,12.05,505.16,3.78,133.640211640212,41.9219917012448,68.6307053941909
E-1,PI 534164,54,2,2,617.8,750.7,750.2,14.35,608.87,4.46,136.517937219731,42.4299651567944,68.9198606271777
E-1,PI 534164,54,2,3,673.2,702.8,643.8,15.2,583.91,4.54,128.614537444934,38.4151315789474,70.1315789473684
SC 999, ,55,1,1,777.2,796.4,699.8,7.1,372.14,2.27,163.938325991189,52.4140845070423,68.0281690140845
SC 999, ,55,1,2,766.7,765.5,708.3,8.2,402.04,2.48,162.112903225806,49.0292682926829,69.7560975609756
SC 999, ,55,1,3,692.5,827.7,737.3,8.2,401.3,2.3,174.478260869565,48.9390243902439,71.9512195121951
SC 999, ,55,2,1,791.6,779.2,735.4,8.2,410.89,2.37,173.371308016878,50.1085365853659,71.0975609756098
SC 999, ,55,2,2,760.7,790.4,682,8.85,445.59,2.48,179.673387096774,50.3491525423729,71.9774011299435
SC 999, ,55,2,3,768.7,752.9,767.1,8.75,419.16,2.17,193.161290322581,47.904,75.2
SC1015, ,56,1,1,529.7,652.3,649.3,10.3,552.83,3.27,169.061162079511,53.6728155339806,68.252427184466
SC1015, ,56,1,2,670.1,631.4,449.4,10.55,532.41,3.36,158.455357142857,50.4654028436019,68.1516587677725
SC1015, ,56,1,3,404.4,595.2,668.1,10.75,588.02,3.08,190.915584415584,54.6995348837209,71.3488372093023
SC1015, ,56,2,1,612.7,637.5,582.8,9.9,414.55,3.17,130.772870662461,41.8737373737374,67.979797979798
SC1015, ,56,2,2,615.7,574.9,553.4,9.75,390.6,2.99,130.635451505017,40.0615384615385,69.3333333333333
SC1015, ,56,2,3,500.2,559,618.9,9.6,432.24,2.79,154.924731182796,45.025,70.9375
Mashila,PI 576377,57,1,1,727.5,670.1,698.8,8.95,376.89,2.74,137.551094890511,42.1106145251397,69.3854748603352
Mashila,PI 576377,57,1,2,501.3,744.9,745.5,9.5,432.63,2.79,155.064516129032,45.54,70.6315789473684
Mashila,PI 576377,57,1,3,649.3,732,723.5,10.2,444.66,2.9,153.331034482759,43.5941176470588,71.5686274509804
Mashila,PI 576377,57,2,1,745.5,703.3,634.5,8.8,401.46,2.75,145.985454545455,45.6204545454545,68.75
Mashila,PI 576377,57,2,2,681,590,752.3,9,409.06,2.55,160.41568627451,45.4511111111111,71.6666666666667
Mashila,PI 576377,57,2,3,713.6,744.5,680,8.85,399.03,2.6,153.473076923077,45.0881355932203,70.6214689265537
Mashila,,57,3,1,797.1,818.2,745.1,10,405.7,3.07,132.149837133551,40.57,69.3
Mashila,,57,3,2,763.7,762.9,780.8,9.45,407.35,3.01,135.332225913621,43.1058201058201,68.1481481481482
Mashila,,57,3,3,727.5,751.6,603.1,6.9,316.29,2.52,125.511904761905,45.8391304347826,63.4782608695652
Boda,PI 576424,58,1,1,422.2,442.6,403.1,21.6,862.09,6.32,136.40664556962,39.9115740740741,70.7407407407407
Boda,PI 576424,58,1,2,309.4,411,401.9,20.75,848.73,5.85,145.082051282051,40.9026506024096,71.8072289156627
Boda,PI 576424,58,1,3,351.6,502.5,357.8,17.8,761.53,5.25,145.053333333333,42.7825842696629,70.5056179775281
Boda,PI 576424,58,3,1,482.2,499.1,379.3,12.7,592.78,3.54,167.45197740113,46.6755905511811,72.1259842519685
Boda,PI 576424,58,3,2,535.3,483.3,497.7,10.7,505.35,3.24,155.972222222222,47.2289719626168,69.7196261682243
Boda,PI 576424,58,3,3,466.4,345,391.8,12.5,548.38,3.22,170.304347826087,43.8704,74.24
IS 7344C,PI 59571 ,59,1,1,504.7,754.1,617.8,14,643.27,4.06,158.440886699507,45.9478571428571,71
IS 7344C,PI 59571 ,59,1,2,650.3,811.9,587,16.15,749.36,4.48,167.267857142857,46.4,72.2600619195046
IS 7344C,PI 59571 ,59,1,3,435.8,751.9,633.5,14.3,696.72,4.03,172.883374689826,48.7216783216783,71.8181818181818
IS 7344C,PI 59571 ,59,2,1,676.6,667.1,647.2,10.4,538.96,3.21,167.90031152648,51.8230769230769,69.1346153846154
IS 7344C,PI 59571 ,59,2,2,539.8,746.1,736.3,12.1,632.3,3.67,172.288828337875,52.2561983471074,69.6694214876033
IS 7344C,PI 59571 ,59,2,3,457.3,691.3,678.8,12.35,653.18,4.02,162.482587064677,52.8890688259109,67.4493927125506
IS 7344C,,59,3,1,697.8,750.9,501.3,7.45,394.56,2.06,191.533980582524,52.9610738255034,72.3489932885906
IS 7344C,,59,3,2,505.9,362.3,356.7,9.1,488.5,2.6,187.884615384615,53.6813186813187,71.4285714285714
IS 7344C,,59,3,3,592,529.7,556.7,10.6,544.98,2.66,204.87969924812,51.4132075471698,74.9056603773585
IS 23595C,PI 595738,60,1,1,645,621.2,746.2,7.65,271.62,1.91,142.20942408377,35.5058823529412,75.0326797385621
IS 23595C,PI 595738,60,1,2,548.4,755.9,746.5,10.3,318.77,2.53,125.99604743083,30.9485436893204,75.4368932038835
IS 23595C,PI 595738,60,1,3,598.6,700.8,716.5,11.5,291.86,2.44,119.614754098361,25.3791304347826,78.7826086956522
IS 23595C,PI 595738,60,2,1,761.1,722.5,802.8,8.65,378.61,2.26,167.526548672566,43.7699421965318,73.8728323699422
IS 23595C,PI 595738,60,2,2,651.3,803.2,744.9,9.25,389.54,2.11,184.616113744076,42.1124324324324,77.1891891891892
IS 23595C,PI 595738,60,2,3,735.4,638.5,768.9,9.5,378.62,2.18,173.678899082569,39.8547368421053,77.0526315789474
IS 23595C,,60,3,1,665.1,690.2,623.4,8.7,350.17,2.12,165.174528301887,40.2494252873563,75.632183908046
IS 23595C,,60,3,2,724.5,469,484.4,10.25,427.9,2.51,170.478087649402,41.7463414634146,75.5121951219512
IS 23595C,,60,3,3,652.3,648.4,743.4,11,461.19,2.39,192.966527196653,41.9263636363636,78.2727272727273
AS 1019,PI 533945,61,1,1,413.2,540.9,377,5.85,326.28,1.61,202.658385093168,55.774358974359,72.4786324786325
AS 1019,PI 533945,61,1,2,472.9,433.3,475.4,5,267.41,1.21,221,53.482,75.8
AS 1019,PI 533945,61,1,3,491.2,337.5,390.6,3.5,187.08,0.83,225.397590361446,53.4514285714286,76.2857142857143
AS 1019,PI 533945,61,2,1,412.1,552.4,430.7,3.8,222.11,1.15,193.139130434783,58.45,69.7368421052632
AS 1019,PI 533945,61,2,2,461.8,408.3,466.4,4.15,238.67,1.09,218.963302752294,57.510843373494,73.7349397590362
AS 1019,PI 533945,61,2,3,551.4,572.6,479.9,4.6,267.12,1.36,196.411764705882,58.0695652173913,70.4347826086957
IS 12683C,PI 5338 6,62,1,1,736.3,684,755.1,5.35,290.97,1.52,191.427631578947,54.3869158878505,71.588785046729
IS 12683C,PI 5338 6,62,1,2,677.7,743.5,565.8,5.7,287.62,1.55,185.561290322581,50.459649122807,72.8070175438597
IS 12683C,PI 5338 6,62,1,3,571.5,745.7,647.2,5.25,288.79,1.39,207.762589928058,55.0076190476191,73.5238095238095
IS 12683C,PI 5338 6,62,3,1,649.3,698.8,503.6,3,199.6,0.87,229.425287356322,66.5333333333333,71
IS 12683C,PI 5338 6,62,3,2,452.8,719.6,730.8,3.7,239.58,1.02,234.882352941176,64.7513513513514,72.4324324324324
IS 12683C,PI 5338 6,62,3,3,711.7,653.3,522.9,3.65,232.48,0.91,255.472527472527,63.6931506849315,75.0684931506849
187 SBI 151,PI 533868,63,1,1,395.2,483.3,477.6,2.3,126.24,0.64,197.25,54.8869565217391,72.1739130434783
187 SBI 151,PI 533868,63,1,2,770.2,718.6,547.4,3.95,239.7,1.21,198.099173553719,60.6835443037975,69.3670886075949
187 SBI 151,PI 533868,63,1,3,677.7,710.5,686,4.8,266.47,1.33,200.353383458647,55.5145833333333,72.2916666666667
187 SBI 151,PI 533868,63,2,1,540.9,673.2,606.5,4.4,258.29,1.41,183.184397163121,58.7022727272727,67.9545454545455
187 SBI 151,PI 533868,63,2,2,520.6,590,630.3,5.35,315.26,1.56,202.089743589744,58.9271028037383,70.8411214953271
187 SBI 151,PI 533868,63,2,3,500.2,737.3,588,5.4,311.7,1.48,210.608108108108,57.7222222222222,72.5925925925926
IS 17208C,PI 576384,64,1,1,518.4,435.8,460.7,3.85,194.57,1.03,188.902912621359,50.5376623376623,73.2467532467532
IS 17208C,PI 576384,64,1,2,486.7,658.5,500.2,4,185.17,1,185.17,46.2925,75
IS 17208C,PI 576384,64,1,3,485.3,444.8,351.6,3.1,148.32,0.71,208.901408450704,47.8451612903226,77.0967741935484
IS 17208C,PI 576384,64,2,1,501.3,534.2,423.4,4.85,237.39,1.08,219.805555555555,48.9463917525773,77.7319587628866
IS 17208C,PI 576384,64,2,2,521.8,453.9,456.2,4.4,201.65,1,201.65,45.8295454545455,77.2727272727273
IS 17208C,PI 576384,64,2,3,421.1,388.4,281.7,2.85,139.68,0.57,245.052631578947,49.0105263157895,80
SRN39,PI 656 27,65,1,1,772.3,758.5,578.3,18.1,725.07,5.11,141.892367906067,40.0591160220994,71.767955801105
SRN39,PI 656 27,65,1,2,645,745.5,648.4,19.8,804.53,5.28,152.373106060606,40.6328282828283,73.3333333333333
SRN39,PI 656 27,65,1,3,713.6,779.8,725.5,21.55,812.94,5.3,153.384905660377,37.72343387471,75.4060324825986
SRN39,PI 656 27,65,2,1,767.5,816.5,533,13.2,543.95,3.46,157.21098265896,41.2083333333333,73.7878787878788
SRN39,PI 656 27,65,2,2,761.3,817.3,782.8,13.15,559.31,3.45,162.11884057971,42.5330798479087,73.7642585551331
SRN39,PI 656 27,65,2,3,690.2,795.4,745.7,14.4,627.16,3.71,169.045822102426,43.5527777777778,74.2361111111111
N'Tenimissa,PI 656 54,66,1,1,265.9,232.9,189.4,14,658.11,5,131.622,47.0078571428572,64.2857142857143
N'Tenimissa,PI 656 54,66,1,2,540.9,517.2,582.8,15.1,133.92,3.57,37.5126050420168,8.86887417218543,76.3576158940397
N'Tenimissa,PI 656 54,66,1,3,628,540.9,612.7,15.9,737.51,4.95,148.991919191919,46.3842767295597,68.8679245283019
N'Tenimissa,PI 656 54,66,2,1,540.9,517.2,536.4,12.8,644.98,4.06,158.862068965517,50.3890625,68.28125
N'Tenimissa,PI 656 54,66,2,2,629.1,747.8,658.5,15.25,703.3,4.53,155.253863134658,46.1180327868853,70.2950819672131
N'Tenimissa,PI 656 54,66,2,3,632.6,554.5,660.8,10.3,418.2,2.87,145.714285714286,40.6019417475728,72.1359223300971
Lakahiri,PI 656 66,67,1,1,,,,,,,,,
Lakahiri,PI 656 66,67,1,2,,,,,,,,,
Lakahiri,PI 656 66,67,1,3,,,,,,,,,
Lakahiri,PI 656 66,67,2,1,399.7,391.8,424.5,21.85,926.69,5.75,161.16347826087,42.4114416475973,73.6842105263158
Lakahiri,PI 656 66,67,2,2,362.3,492.3,456.2,19.65,831.02,5.36,155.041044776119,42.2910941475827,72.7226463104326
Lakahiri,PI 656 66,67,2,3,356.6,429.4,434.7,18.35,779.09,5.14,151.57392996109,42.4572207084469,71.9891008174387
RTx2909,PI 598 69,68,1,1,229,238.2,263.2,8.6,356.45,2.07,172.19806763285,41.4476744186046,75.9302325581395
RTx2909,PI 598 69,68,1,2,293.6,310.7,304.7,8.7,380.9,1.99,191.407035175879,43.7816091954023,77.1264367816092
RTx2909,PI 598 69,68,1,3,240.8,239.5,305.8,8.2,380.94,1.98,192.393939393939,46.4560975609756,75.8536585365854
RTx2909,PI 598 69,68,2,1,279.1,254,263.2,8.35,372.25,2.07,179.830917874396,44.5808383233533,75.2095808383234
RTx2909,PI 598 69,68,2,2,252.7,308.1,389.5,9.05,341.73,1.98,172.590909090909,37.7602209944751,78.121546961326
RTx2909,PI 598 69,68,2,3,232.1,283,388.4,8.8,352.01,2.12,166.042452830189,40.0011363636364,75.9090909090909
